"HFAJK";"Torneo1";"España"
"HSDAK";"Torneo2";"USA"
"UDSOA";"Torneo3";"Bulgaria"
"GJKLW";"Torneo4";"Francia"
"SKDLO";"Torneo5";"Alemania"
"QWEAS";"Torneo6";"Italia"
"XCVBN";"Torneo7";"Argentina"
"ZXMCV";"Torneo8";"Brasil"
"ASDFG";"Torneo9";"México"
"POIUY";"Torneo10";"Canadá"
"MNBVC";"Torneo11";"Reino Unido"
"LKJHG";"Torneo12";"Japón"
"ERTYU";"Torneo13";"Rusia"
"UIOPE";"Torneo14";"China"
"QWERT";"Torneo15";"India"
"FGHJK";"Torneo16";"Australia"
"CVBNM";"Torneo17";"Sudáfrica"
"TYUIO";"Torneo18";"Chile"
"NBVCX";"Torneo19";"Colombia"
"POIUY";"Torneo20";"Perú"
"XWZAS";"Torneo21";"México"
"YZXCV";"Torneo22";"Argentina"
"ABCDF";"Torneo23";"España"
"PQRST";"Torneo24";"Italia"
"LMNOP";"Torneo25";"Francia"
"IJKL";"Torneo26";"Alemania"
"WERT";"Torneo27";"Brasil"
"VBNM";"Torneo28";"Canadá"
"QWERY";"Torneo29";"Reino Unido"
"ASD";"Torneo30";"Japón"
"ZXCV";"Torneo31";"Rusia"
"TYUI";"Torneo32";"China"
"DFGH";"Torneo33";"India"
"UIO";"Torneo34";"Australia"
"IOP";"Torneo35";"Sudáfrica"
"PASD";"Torneo36";"Chile"
"VNMB";"Torneo37";"Colombia"
"JHGF";"Torneo38";"Perú"
"NBVC";"Torneo39";"Uruguay"
"GHJK";"Torneo40";"Ecuador"